test_num,num_features,neighbours,distance_metric,scaled,accuracy,train_t,test_t
4,7,40,manhattan,false,0.062,1.431,4.367
4,7,45,manhattan,false,0.063,1.521,4.799
4,7,50,manhattan,false,0.062,1.490,5.690
4,7,5,euclidean,true,0.060,1.480,1.597
4,7,10,euclidean,true,0.062,1.498,1.820
4,7,15,euclidean,true,0.063,1.476,2.109
4,7,20,euclidean,true,0.063,1.466,2.502
4,7,25,euclidean,true,0.063,1.504,2.868
4,7,30,euclidean,true,0.062,1.464,3.233
4,7,35,euclidean,true,0.062,1.768,4.200
4,7,40,euclidean,true,0.062,1.968,4.512
4,7,45,euclidean,true,0.062,1.887,5.262
4,7,50,euclidean,true,0.062,1.635,5.595
4,7,5,manhattan,true,0.060,1.879,1.941
