28858,10,26
Unknown,POP3,HTTP,MySQL,POPS,BitTorrent,IMAPS,Steam,ICMP,RDP,SSL,SSH,Facebook,Twitter,Dropbox,Skype,Google,Apple,OpenVPN,Amazon,QUIC,Starcraft,Teredo,Office365,Cloudflare,MS_OneDrive,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
147.232.181.0,1194,178.40.7.191,11090,UDP,2654366.000000,1304,265436.600000,32.000000,2508932.000000,130,64,168,3.767378,491.266088,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11345,UDP,135562.000000,1392,13556.200000,15.000000,66432.000000,139,64,168,73.766985,10268.364291,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10836,UDP,186305.000000,1392,18630.500000,27.000000,67621.000000,139,64,168,53.675425,7471.619119,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11091,UDP,139226.000000,1392,13922.600000,34.000000,70649.000000,139,64,168,71.825665,9998.132533,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10837,UDP,3822926.000000,1392,382292.600000,28.000000,2602115.000000,139,64,168,2.615797,364.119002,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11092,UDP,136844.000000,1392,13684.400000,2.000000,68143.000000,139,64,168,73.075911,10172.166847,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10838,UDP,135748.000000,1392,13574.800000,14.000000,66630.000000,139,64,168,73.665910,10254.294723,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10839,UDP,1597083.000000,1204,159708.300000,3.000000,1430222.000000,120,60,168,6.261415,753.874407,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11350,UDP,135919.000000,1392,13591.900000,31.000000,67457.000000,139,64,168,73.573231,10241.393771,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10840,UDP,142203.000000,1392,14220.300000,32.000000,66885.000000,139,64,168,70.322004,9788.823021,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11095,UDP,2513461.000000,1208,251346.100000,29.000000,1588804.000000,120,64,168,3.978578,480.612192,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10841,UDP,139173.000000,1392,13917.300000,5.000000,68017.000000,139,64,168,71.853017,10001.940031,OpenVPN,18
